g    git
ar	sudo $apt_pref remove	Removes packages, keeps the configuration files
ads	sudo apt-get dselect-upgrade	Installs packages from list and removes all not in the list
dia	sudo dpkg -i ./*.deb	Install all .deb files in the current directory
di	sudo dpkg -i	Install all .deb files in the current directory
kclean	sudo aptitude remove -P ?and(inlinux-(ima|hea) ?not(~nuname -r))	Remove ALL kernel images and headers EXCEPT the one in use
aac	su -ls '$apt_pref autoclean' root
ac	su -ls '$apt_pref clean' root
ad	su -lc '$apt_pref update' root
adg	su -lc '$apt_pref update && aptitude $apt_upgr' root
adu	su -lc '$apt_pref update && aptitude dist-upgrade' root
afu	su -lc "apt-file update
ag	su -lc '$apt_pref $apt_upgr' root
dia	su -lc "dpkg -i ./*.deb" root
allpkgs	aptitude search -F "%p" --disable-columns ~i	Display all installed packages
mydeb	time dpkg-buildpackage -rfakeroot -us -uc	Create a basic .deb package
apt-copy	Create a simple script that can be used to 'duplicate' a system
apt-history	Displays apt history for a command
kerndeb	Builds kernel packages
apt-list-packages	List packages by size
